"organizationalUnit","objectTypeName","inheritedObjectTypeName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"OU=Workstations,DC=sos,DC=labs","All","All","GenericRead","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"OU=Workstations,DC=sos,DC=labs","All","All","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","NT AUTHORITY\SYSTEM","False","None","None"
"OU=Workstations,DC=sos,DC=labs","All","All","GenericAll","None","00000000-0000-0000-0000-000000000000","00000000-0000-0000-0000-000000000000","None","Allow","sos\Domain Admins","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty, WriteProperty","Descendents","28e08a61-2b85-4f6e-80ab-7c60e1f5afa1","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,,"WriteProperty","Descendents","4e912f68-7082-4c9d-855e-e12ad4fc162e","bf967a86-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","NT AUTHORITY\SELF","False","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,"All","CreateChild, DeleteChild","None","bf967aba-0de6-11d0-a285-00aa003049e2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Account Operators","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,"All","CreateChild, DeleteChild","None","4828cc14-1437-45bc-9b07-ad6f015e5f28","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Account Operators","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,"All","CreateChild, DeleteChild","None","bf967a9c-0de6-11d0-a285-00aa003049e2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Account Operators","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,"All","CreateChild, DeleteChild","None","bf967a86-0de6-11d0-a285-00aa003049e2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Account Operators","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,"All","CreateChild, DeleteChild","None","bf967aa8-0de6-11d0-a285-00aa003049e2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Print Operators","False","None","None"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty","Descendents","4c164200-20c0-11d0-a768-00aa006e0529","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty","Descendents","5f202010-79a5-11d0-9020-00c04fc2d4cf","bf967aba-0de6-11d0-a285-00aa003049e2","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
"OU=Workstations,DC=sos,DC=labs",,,"ReadProperty","Descendents","bc0ac240-79a9-11d0-9020-00c04fc2d4cf","4828cc14-1437-45bc-9b07-ad6f015e5f28","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","BUILTIN\Pre-Windows 2000 Compatible Access","True","ContainerInherit","InheritOnly"
