Group,ManagedBy,whenCreated,whenChanged,Description,SID,DistinguishedName,CanonicalName
"Remote Management Users","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group can access WMI resources over management protocols (such as WS-Management via the Windows Remote Management service). This applies only to WMI namespaces that grant access to the user.","S-1-5-32-580","CN=Remote Management Users,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Remote Management Users"
"System Managed Accounts Group","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group are managed by the system.","S-1-5-32-581","CN=System Managed Accounts Group,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/System Managed Accounts Group"
"Storage Replica Administrators","","1/12/2017 1:04:54 AM","1/12/2017 1:04:54 AM","Members of this group have complete and unrestricted access to all features of Storage Replica.","S-1-5-32-582","CN=Storage Replica Administrators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Storage Replica Administrators"
"Domain Computers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","All workstations and servers joined to the domain","S-1-5-21-2248324977-2314973842-2121952795-515","CN=Domain Computers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Computers"
"Domain Controllers","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","All domain controllers in the domain","S-1-5-21-2248324977-2314973842-2121952795-516","CN=Domain Controllers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Controllers"
"Schema Admins","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Designated administrators of the schema","S-1-5-21-2248324977-2314973842-2121952795-518","CN=Schema Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Schema Admins"
"Enterprise Admins","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Designated administrators of the enterprise","S-1-5-21-2248324977-2314973842-2121952795-519","CN=Enterprise Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Enterprise Admins"
"Cert Publishers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members of this group are permitted to publish certificates to the directory","S-1-5-21-2248324977-2314973842-2121952795-517","CN=Cert Publishers,CN=Users,DC=sos,DC=labs","sos.labs/Users/Cert Publishers"
"Domain Admins","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Designated administrators of the domain","S-1-5-21-2248324977-2314973842-2121952795-512","CN=Domain Admins,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Admins"
"Domain Users","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","All domain users","S-1-5-21-2248324977-2314973842-2121952795-513","CN=Domain Users,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Users"
"Domain Guests","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","All domain guests","S-1-5-21-2248324977-2314973842-2121952795-514","CN=Domain Guests,CN=Users,DC=sos,DC=labs","sos.labs/Users/Domain Guests"
"Group Policy Creator Owners","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Members in this group can modify group policy for the domain","S-1-5-21-2248324977-2314973842-2121952795-520","CN=Group Policy Creator Owners,CN=Users,DC=sos,DC=labs","sos.labs/Users/Group Policy Creator Owners"
"RAS and IAS Servers","","1/12/2017 1:05:57 AM","1/12/2017 1:05:57 AM","Servers in this group can access remote access properties of users","S-1-5-21-2248324977-2314973842-2121952795-553","CN=RAS and IAS Servers,CN=Users,DC=sos,DC=labs","sos.labs/Users/RAS and IAS Servers"
"Server Operators","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Members can administer domain servers","S-1-5-32-549","CN=Server Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Server Operators"
"Account Operators","","1/12/2017 1:05:57 AM","1/12/2017 1:21:08 AM","Members can administer domain user and group accounts","S-1-5-32-548","CN=Account Operators,CN=Builtin,DC=sos,DC=labs","sos.labs/Builtin/Account Operators"
