"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","L.ROOT-SERVERS.NET","AAAA","2001:0500:009f:0000:0000:0000:0000:0042","0","0","[static]","0","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"RootDNSServers","M.ROOT-SERVERS.NET","AAAA","2001:0dc3:0000:0000:0000:0000:0000:0035","0","0","[static]","0","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","@","NS","dc1.sos.labs.","3600","0","[static]","2","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=@,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_kerberos._tcp.dc","SRV","[0][100][88][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","11","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_kerberos._tcp.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_kerberos._tcp.Default-First-Site-Name._sites.dc","SRV","[0][100][88][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","12","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_kerberos._tcp.Default-First-Site-Name._sites.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.a61990f9-d775-46fe-8305-e38ea18ade6b.domains","SRV","[0][100][389][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","4","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.a61990f9-d775-46fe-8305-e38ea18ade6b.domains,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.dc","SRV","[0][100][389][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","6","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.Default-First-Site-Name._sites.dc","SRV","[0][100][389][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","7","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.Default-First-Site-Name._sites.dc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.Default-First-Site-Name._sites.gc","SRV","[0][100][3268][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","9","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.Default-First-Site-Name._sites.gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.gc","SRV","[0][100][3268][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","8","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","_ldap._tcp.pdc","SRV","[0][100][389][DC1.sos.labs.]","600","3657126","16/03/2018 6:00:00 AM","3","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=_ldap._tcp.pdc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","4d55de11-5a60-4d67-9523-0607a687be7e","CNAME","DC1.sos.labs.","600","3657126","16/03/2018 6:00:00 AM","5","16/03/2018 6:31:17 AM","16/03/2018 6:31:17 AM","True","DC=4d55de11-5a60-4d67-9523-0607a687be7e,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
"_msdcs.sos.labs","gc","A","192.168.9.10","600","3657246","21/03/2018 6:00:00 AM","14","16/03/2018 6:31:17 AM","21/03/2018 7:08:40 AM","True","DC=gc,DC=_msdcs.sos.labs,CN=MicrosoftDNS,DC=ForestDnsZones,DC=sos,DC=labs"
