"organizationalUnit","objectTypeName","inheritedObjectTypeName","ActiveDirectoryRights","InheritanceType","ObjectType","InheritedObjectType","ObjectFlags","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"DC=sos,DC=labs","Enable-Per-User-Reversibly-Encrypted-Password","All","ExtendedRight","None","05c74c5e-4deb-43b4-bd9f-86664c2a7fd5","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"DC=sos,DC=labs","Unexpire-Password","All","ExtendedRight","None","ccc2dc7d-a6ad-4a7a-8846-c04e3cc53501","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"DC=sos,DC=labs","Update-Password-Not-Required-Bit","All","ExtendedRight","None","280f369c-67c7-438e-ae98-1d46f3c6f541","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"DC=sos,DC=labs","Domain-Other-Parameters","All","ReadProperty","None","b8119fd0-04f6-4762-ab7a-4986c76b3f9a","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","NT AUTHORITY\Authenticated Users","False","None","None"
"DC=sos,DC=labs","Read-Only-Replication-Secret-Synchronization","All","ExtendedRight","None","1131f6ae-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"DC=sos,DC=labs","DS-Replication-Get-Changes-All","All","ExtendedRight","None","1131f6ad-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"DC=sos,DC=labs","DS-Replication-Manage-Topology","All","ExtendedRight","None","1131f6ac-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"DC=sos,DC=labs","DS-Replication-Synchronize","All","ExtendedRight","None","1131f6ab-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"DC=sos,DC=labs","DS-Replication-Get-Changes","All","ExtendedRight","None","1131f6aa-9c07-11d1-f79f-00c04fc2dcd2","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
"DC=sos,DC=labs","DS-Replication-Get-Changes-In-Filtered-Set","All","ExtendedRight","None","89e95b76-444d-4c62-991a-0facbeda640c","00000000-0000-0000-0000-000000000000","ObjectAceTypePresent","Allow","BUILTIN\Administrators","False","None","None"
