"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","J.ROOT-SERVERS.NET","AAAA","2001:0503:0c27:0000:0000:0000:0002:0030","0","0","[static]","0","1/12/2017 12:06:37 PM","1/12/2017 12:06:37 PM","True","DC=J.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","K.ROOT-SERVERS.NET","AAAA","2001:07fd:0000:0000:0000:0000:0000:0001","0","0","[static]","0","1/12/2017 12:06:37 PM","1/12/2017 12:06:37 PM","True","DC=K.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","L.ROOT-SERVERS.NET","AAAA","2001:0500:009f:0000:0000:0000:0000:0042","0","0","[static]","0","1/12/2017 12:06:37 PM","1/12/2017 12:06:37 PM","True","DC=L.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"RootDNSServers","M.ROOT-SERVERS.NET","AAAA","2001:0dc3:0000:0000:0000:0000:0000:0035","0","0","[static]","0","1/12/2017 12:06:37 PM","1/12/2017 12:06:37 PM","True","DC=M.ROOT-SERVERS.NET,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=sos,DC=labs"
"sos.labs","@","A","192.168.9.1","600","3654601","1/12/2017 1:00:00 AM","4","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=@,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_gc._tcp","SRV","[0][100][3268][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","9","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_gc._tcp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_gc._tcp.Default-First-Site-Name._sites","SRV","[0][100][3268][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","10","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_gc._tcp.Default-First-Site-Name._sites,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_kerberos._tcp","SRV","[0][100][88][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","7","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kerberos._tcp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_kerberos._tcp.Default-First-Site-Name._sites","SRV","[0][100][88][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","8","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kerberos._tcp.Default-First-Site-Name._sites,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_kerberos._udp","SRV","[0][100][88][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","11","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kerberos._udp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_kpasswd._tcp","SRV","[0][100][464][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","12","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kpasswd._tcp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_kpasswd._udp","SRV","[0][100][464][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","13","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_kpasswd._udp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_ldap._tcp","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","5","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_ldap._tcp.Default-First-Site-Name._sites","SRV","[0][100][389][DC1.sos.labs.]","600","3654601","1/12/2017 1:00:00 AM","6","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_ldap._tcp.Default-First-Site-Name._sites,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
"sos.labs","_msdcs","NS","dc1.sos.labs.","3600","0","[static]","3","1/12/2017 12:14:46 PM","1/12/2017 12:14:46 PM","True","DC=_msdcs,DC=sos.labs,CN=MicrosoftDNS,DC=DomainDnsZones,DC=sos,DC=labs"
